GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,com.mycompany.app.product.discount,Discount,0,20,0,4,0,6,0,5,0,3
my-app,com.mycompany.app.supermarket.timer,Timer,0,33,0,0,0,9,0,5,0,5
my-app,com.mycompany.app.customer.paymentmethod,PaymentMethod,0,126,2,18,0,30,2,16,0,8
my-app,com.mycompany.app,SupermarketSimulator,18,0,0,0,7,0,2,0,2,0
my-app,com.mycompany.app.supermarket.timer.time,Time,0,188,0,32,0,37,0,28,0,12
my-app,com.mycompany.app.supermarket.model.generators,CustomerGenerator,0,75,0,0,0,13,0,3,0,3
my-app,com.mycompany.app.supermarket.model.generators,ProductsGenerator,0,138,0,6,0,29,0,8,0,5
my-app,com.mycompany.app.customer.enums,CustomerCategory,0,34,0,0,0,4,0,1,0,1
my-app,com.mycompany.app.customer.enums,StatesInSupermarket,0,44,0,0,0,5,0,1,0,1
my-app,com.mycompany.app.supermarket.report,Report,7,13,1,1,1,4,1,2,0,2
my-app,com.mycompany.app.supermarket.cashdesk,CashDesk,30,198,1,15,8,27,2,14,1,7
my-app,com.mycompany.app.supermarket,Supermarket,0,254,0,20,0,59,0,19,0,9
my-app,com.mycompany.app.supermarket.model.processors,ProductProcessor,0,92,0,8,0,14,0,8,0,4
my-app,com.mycompany.app.product.enums,ProductType,0,24,0,0,0,3,0,1,0,1
my-app,com.mycompany.app.product.enums,ProductMeasuringType,0,24,0,0,0,3,0,1,0,1
my-app,com.mycompany.app.supermarket.utils,Logger,59,172,2,4,7,22,4,10,3,8
my-app,com.mycompany.app.supermarket.cashdesk.bill,Bill,91,14,2,0,13,4,8,2,7,2
my-app,com.mycompany.app.customer,Customer,12,257,6,14,0,48,4,22,0,16
my-app,com.mycompany.app.customer.basket,Basket,0,42,0,2,0,10,0,6,0,5
my-app,com.mycompany.app.product,Product,0,125,0,6,0,27,0,17,0,14
